doc_id,term_id,frequency
3128_txt_interest,matches,1
5508_txt_trade,months,1
10352_txt_trade,weeklong,1
9365_txt_acq,realty,2
4835_txt_trade,apholte,1
5561_txt_trade,version,1
18243_txt_earn,shr,2
19044_txt_trade,yen,1
10371_txt_acq,generale,1
162_txt_acq,board,1
1182_txt_earn,share,2
17981_txt_acq,cnt,1
1228_txt_acq,approval,1
110_txt_acq,make,2
5739_txt_acq,people,1
9988_txt_interest,agreements,1
7643_txt_trade,director,1
18497_txt_earn,35p,1
8823_txt_acq,share,2
7058_txt_earn,liabilities,1
5376_txt_trade,hand,1
3264_txt_acq,sa,2
5692_txt_trade,earnings,1
8765_txt_crude,speaking,1
17813_txt_crude,today,1
16871_txt_trade,revised,2
14324_txt_earn,amount,1
13281_txt_crude,crudes,1
8252_txt_trade,hope,1
4048_txt_trade,easing,1
16274_txt_interest,federal,1
11192_txt_acq,buys,1
9053_txt_earn,common,1
2520_txt_acq,decision,1
2546_txt_acq,plan,2
4340_txt_crude,musk,1
15816_txt_interest,182day,2
8204_txt_acq,23,1
3539_txt_interest,principle,2
3807_txt_earn,qtly,1
246_txt_crude,expectations,1
236_txt_crude,charging,1
6282_txt_acq,pretax,2
15501_txt_acq,five,1
3417_txt_acq,owned,1
8909_txt_acq,ltd,1
4084_txt_trade,exports,1
13045_txt_trade,satisfactory,1
5739_txt_acq,1986,1
4481_txt_crude,4,1
2417_txt_trade,aids,1
8676_txt_trade,attempting,1
2227_txt_earn,shr,2
15223_txt_trade,discuss,1
17194_txt_trade,tokyo,1
11746_txt_interest,eight,1
6125_txt_crude,seen,1
2596_txt_acq,209,1
6964_txt_trade,ago,1
9445_txt_crude,large,1
6184_txt_crude,petroleos,1
5750_txt_acq,right,1
20653_txt_crude,migrations,1
19509_txt_crude,total,1
1990_txt_crude,running,1
20936_txt_crude,sweet,1
1836_txt_acq,merged,1
5273_txt_crude,restrain,1
6352_txt_interest,expiry,1
5796_txt_crude,saying,1
21386_txt_earn,profit,5
6034_txt_acq,k,7
4513_txt_trade,yet,2
489_txt_crude,mid,1
372_txt_acq,analysts,3
3777_txt_earn,goal,1
991_txt_trade,country,2
19815_txt_earn,three,1
10767_txt_trade,need,1
21385_txt_earn,1379,1
19191_txt_interest,stg,1
17489_txt_earn,881,1
11123_txt_earn,expected,1
10781_txt_trade,officials,1
4779_txt_earn,date,1
11630_txt_earn,452000,1
4595_txt_trade,washington,1
11527_txt_acq,reuter,1
16890_txt_earn,qtr,1
12697_txt_acq,shares,1
13263_txt_earn,stock,2
15840_txt_trade,upward,1
15121_txt_earn,director,2
20393_txt_earn,mths,2
110_txt_acq,preclude,1
8982_txt_trade,one,1
8051_txt_earn,reported,1
15708_txt_earn,prior,1
8690_txt_acq,shares,3
8131_txt_crude,reuter,1
12775_txt_crude,steady,1
17077_txt_interest,clarify,1
17236_txt_crude,experiencing,1
1963_txt_trade,5,1
18520_txt_interest,instrument,1
18108_txt_crude,amount,1
20090_txt_crude,km,1
5438_txt_earn,losses,1
5057_txt_trade,decisions,1
15840_txt_trade,improve,1
5274_txt_trade,429,1
10375_txt_trade,petroleum,1
11222_txt_trade,scientific,1
8755_txt_crude,development,3
2121_txt_crude,towards,1
16871_txt_trade,reuter,1
14982_txt_acq,approach,1
11007_txt_crude,cnp,1
354_txt_trade,faster,1
2807_txt_earn,note,1
8662_txt_trade,areas,1
16215_txt_acq,56,1
10375_txt_trade,reuters,1
17452_txt_trade,lack,1
1684_txt_acq,sold,1
9155_txt_crude,roland,1
5689_txt_earn,plans,1
883_txt_earn,final,2
791_txt_crude,efps,2
8449_txt_earn,largest,1
13543_txt_interest,cuts,1
7135_txt_trade,wellplaced,1
7715_txt_acq,banking,2
21435_txt_earn,oct,1
13290_txt_crude,volume,2
21408_txt_acq,commission,1
11390_txt_trade,affect,1
7135_txt_trade,one,2
16215_txt_acq,formal,1
13263_txt_earn,necessary,1
6483_txt_interest,dealing,1
11848_txt_interest,manhattan,1
8662_txt_trade,reuter,1
4795_txt_earn,bourse,1
4595_txt_trade,protectionism,1
20959_txt_crude,far,1
2449_txt_crude,statement,1
4031_txt_trade,lobbies,1
13045_txt_trade,financial,1
11663_txt_earn,held,1
5684_txt_trade,wheat,1
7894_txt_earn,cts,2
8982_txt_trade,controls,3
6177_txt_crude,marketing,1
1022_txt_trade,published,1
16256_txt_trade,european,1
15840_txt_trade,recovery,3
12133_txt_acq,completes,1
21131_txt_crude,strike,3
17282_txt_trade,yen,2
11177_txt_acq,gross,1
7319_txt_acq,control,2
8635_txt_trade,identify,1
9315_txt_trade,april,1
9742_txt_acq,management,1
7659_txt_acq,received,1
10623_txt_trade,mln,1
16941_txt_acq,book,1
960_txt_acq,estates,2
18419_txt_crude,accepting,1
16648_txt_acq,national,1
10398_txt_earn,bought,1
16856_txt_trade,exports,2
15736_txt_earn,fewer,2
11891_txt_acq,interest,1
14859_txt_earn,make,1
21562_txt_trade,dlrs,5
16207_txt_earn,157,1
2137_txt_earn,385,1
3902_txt_trade,11,1
7287_txt_crude,institute,1
16176_txt_acq,favourable,1
2470_txt_acq,preferred,1
17305_txt_trade,nakasones,3
11855_txt_earn,distribution,1
5244_txt_crude,40000,1
4791_txt_earn,investment,1
21541_txt_crude,15,1
12211_txt_earn,qtr,1
19285_txt_crude,john,2
18332_txt_crude,fine,2
8449_txt_earn,reports,1
19559_txt_crude,thursday,1
3542_txt_interest,generated,1
16794_txt_trade,reuter,1
11221_txt_earn,pct,1
9171_txt_trade,lower,1
18443_txt_trade,solution,1
9438_txt_earn,per,1
1182_txt_earn,vs,1
14622_txt_earn,shrs,2
11025_txt_crude,christi,1
10822_txt_earn,year,2
20634_txt_earn,net,4
8069_txt_crude,starts,1
331_txt_acq,peter,1
21541_txt_crude,pct,5
714_txt_acq,satellite,1
17023_txt_trade,texas,1
16939_txt_crude,spending,1
10114_txt_earn,three,1
1375_txt_earn,71,1
15468_txt_acq,shares,2
12783_txt_earn,dividend,1
6346_txt_acq,earlier,1
12880_txt_interest,295344,1
11831_txt_interest,predicted,1
4835_txt_trade,told,1
6695_txt_acq,closing,1
15476_txt_earn,inc,2
18229_txt_acq,pak,4
3902_txt_trade,closed,1
873_txt_crude,weather,1
6348_txt_crude,returned,1
8138_txt_trade,1986,3
8553_txt_crude,gains,1
17666_txt_acq,clark,4
2952_txt_interest,twomonths,1
8209_txt_crude,large,1
6716_txt_trade,unfair,3
17083_txt_trade,action,2
16354_txt_earn,spokesman,2
3378_txt_acq,floral,1
16935_txt_trade,step,1
19963_txt_acq,resources,1
17075_txt_trade,recycle,1
12546_txt_acq,companies,1
15096_txt_interest,market,1
18066_txt_crude,hodel,4
9015_txt_trade,house,1
16946_txt_trade,measures,1
8750_txt_earn,qtr,1
16492_txt_earn,5952000,1
21376_txt_acq,20,1
6346_txt_acq,microchip,1
11177_txt_acq,convinced,1
4991_txt_earn,record,1
2079_txt_earn,semiannual,1
17074_txt_trade,orders,1
11630_txt_earn,pacesetter,1
3762_txt_interest,04,1
10695_txt_trade,offshore,1
12623_txt_trade,european,1
20804_txt_earn,profit,2
1103_txt_acq,initial,1
5268_txt_crude,quake,1
16488_txt_earn,13,1
14739_txt_trade,reject,1
10243_txt_earn,inc,1
11253_txt_acq,unproductive,2
4692_txt_earn,show,1
15703_txt_earn,billion,1
12848_txt_trade,protectionist,1
3841_txt_earn,quarterly,3
4343_txt_acq,merrill,4
12846_txt_interest,91day,1
12602_txt_trade,reacted,1
6830_txt_earn,place,1
8747_txt_trade,policies,1
8102_txt_trade,worse,1
10311_txt_acq,ge,1
8666_txt_acq,pct,4
3261_txt_acq,spokesman,1
16096_txt_interest,900,1
18448_txt_crude,painful,1
18554_txt_trade,specific,1
6187_txt_earn,qtr,1
12211_txt_earn,corp,2
18066_txt_crude,alaska,1
17573_txt_acq,previously,1
8999_txt_earn,151,1
21133_txt_acq,storage,1
12846_txt_interest,mln,4
5272_txt_acq,154,1
15239_txt_acq,perhaps,1
11260_txt_trade,reuter,1
12203_txt_acq,trial,1
19760_txt_acq,order,1
20393_txt_earn,losses,2
10455_txt_trade,february,1
10623_txt_trade,genevabased,1
1739_txt_acq,annual,2
2772_txt_earn,march,3
145_txt_earn,790000,1
18795_txt_crude,move,1
10311_txt_acq,anger,1
15149_txt_acq,thomson,1
10693_txt_crude,hit,1
13649_txt_trade,cawll,1
17716_txt_acq,denville,1
13266_txt_crude,product,1
11118_txt_crude,reached,1
6665_txt_acq,already,1
9937_txt_earn,31,1
8252_txt_trade,united,3
6091_txt_interest,quality,1
16926_txt_trade,point,2
4246_txt_crude,storage,1
1665_txt_acq,dallas,1
19658_txt_trade,ruling,1
16929_txt_trade,agricultural,1
16641_txt_earn,488000,1
12803_txt_crude,gabons,1
11888_txt_acq,martin,1
17329_txt_crude,prediction,1
14154_txt_acq,new,1
1971_txt_interest,unchanged,2
11285_txt_acq,japans,1
1078_txt_interest,may,1
14630_txt_earn,ride,1
7899_txt_acq,washington,1
404_txt_earn,brook,1
16487_txt_earn,billion,6
110_txt_acq,probably,1
9015_txt_trade,july,1
17957_txt_acq,corp,1
1078_txt_interest,averaged,1
20905_txt_acq,shares,4
16388_txt_earn,13,1
10919_txt_earn,ser,1
1808_txt_acq,advanced,1
15312_txt_earn,immediately,1
14982_txt_acq,senate,2
16139_txt_trade,taxation,1
6119_txt_crude,secretary,1
11550_txt_acq,alan,1
1836_txt_acq,taken,1
18986_txt_acq,inc,2
13046_txt_trade,lending,4
3117_txt_earn,able,1
15558_txt_earn,change,1
273_txt_crude,19,1
18040_txt_acq,provides,1
1808_txt_acq,picture,2
16794_txt_trade,want,1
366_txt_acq,said,4
21502_txt_crude,system,1
19895_txt_acq,dlrs,1
20632_txt_crude,work,1
17712_txt_earn,1957745,1
8405_txt_crude,transport,2
15107_txt_earn,quarter,3
8999_txt_earn,avg,2
10919_txt_earn,march,1
14282_txt_earn,1987,2
8091_txt_acq,ariadne,3
4132_txt_earn,increased,1
2121_txt_crude,planned,1
20711_txt_earn,8249000,1
5964_txt_trade,agreement,4
15310_txt_interest,8,1
15617_txt_interest,cause,1
3571_txt_crude,meeting,2
16788_txt_trade,monday,1
21189_txt_earn,nine,1
2728_txt_acq,rebuke,1
4258_txt_earn,dominion,1
1951_txt_trade,computer,1
2799_txt_acq,believed,1
12044_txt_earn,4921,1
8849_txt_acq,increase,1
16926_txt_trade,shot,3
3825_txt_interest,lloyds,3
1622_txt_acq,first,2
14012_txt_trade,reducing,1
6348_txt_crude,first,2
13236_txt_crude,around,3
11299_txt_acq,mutually,1
8275_txt_earn,sales,1
20894_txt_earn,loans,1
10200_txt_crude,rio,1
6926_txt_trade,closed,1
12398_txt_interest,nz,1
6090_txt_acq,government,4
4773_txt_earn,results,1
11260_txt_trade,japanese,3
1276_txt_acq,passenger,1
16747_txt_acq,last,1
9184_txt_trade,planned,1
7593_txt_acq,system,2
7635_txt_acq,network,1
7067_txt_crude,northwest,1
8998_txt_acq,tender,1
12680_txt_crude,17,1
13321_txt_interest,1825,3
17470_txt_interest,seven,1
10192_txt_crude,ideas,1
15149_txt_acq,people,1
820_txt_acq,closing,1
7576_txt_earn,banking,1
3594_txt_crude,far,1
7715_txt_acq,others,1
17054_txt_crude,zone,1
5270_txt_crude,friday,1
2449_txt_crude,bouy,1
7135_txt_trade,us,27
11324_txt_acq,income,1
6023_txt_crude,will,2
4788_txt_earn,1017,1
354_txt_trade,another,1
6201_txt_crude,billlion,1
10905_txt_trade,finance,1
12397_txt_earn,stock,5
489_txt_crude,rise,2
945_txt_crude,oil,4
15276_txt_acq,minn,1
5465_txt_acq,elected,1
11907_txt_interest,rate,3
372_txt_acq,six,1
4664_txt_crude,less,1
13115_txt_crude,helped,2
2979_txt_interest,make,1
210_txt_earn,shr,6
16139_txt_trade,bear,1
6432_txt_crude,13,1
837_txt_earn,new,1
11076_txt_trade,secretary,1
16871_txt_trade,excluding,1
17003_txt_crude,usual,1
16935_txt_trade,without,1
11916_txt_acq,near,1
7135_txt_trade,koss,1
12397_txt_earn,jump,1
11403_txt_crude,leaseholds,1
19704_txt_earn,york,1
14826_txt_trade,budget,1
17943_txt_interest,satoshi,1
20319_txt_earn,1986,1
12602_txt_trade,policies,1
8765_txt_crude,open,1
15366_txt_acq,april,2
10371_txt_acq,pancontinental,4
16304_txt_interest,rate,3
20878_txt_crude,march,1
1718_txt_earn,expected,1
5440_txt_earn,june,1
5316_txt_earn,year,1
7135_txt_trade,overall,2
8606_txt_crude,mln,1
11225_txt_trade,supplied,1
18389_txt_crude,recently,1
5376_txt_trade,congressmen,2
21178_txt_earn,grove,1
2568_txt_earn,shr,2
9081_txt_acq,jr,1
17256_txt_trade,lifted,1
393_txt_acq,31,1
19448_txt_acq,three,1
18399_txt_trade,multilaterally,1
5160_txt_trade,world,1
16745_txt_trade,within,1
2449_txt_crude,well,1
5080_txt_acq,1986,1
19163_txt_trade,destroy,1
10919_txt_earn,313000,1
19998_txt_crude,tense,1
4576_txt_crude,crude,5
21357_txt_acq,market,1
6922_txt_interest,government,1
1836_txt_acq,opened,1
12629_txt_acq,shares,1
19775_txt_interest,aruba,1
15816_txt_interest,april,1
16522_txt_earn,dlrs,1
10414_txt_acq,1986,1
18736_txt_crude,yesterday,1
6020_txt_acq,company,1
18570_txt_acq,group,1
1351_txt_earn,cts,2
7531_txt_trade,297,1
6178_txt_interest,670,1
2383_txt_crude,said,20
7046_txt_acq,completion,1
5057_txt_trade,eliminate,1
12278_txt_interest,usda,1
11982_txt_acq,president,1
7826_txt_earn,310,1
10767_txt_trade,make,1
14982_txt_acq,prenotification,1
8131_txt_crude,11,1
8602_txt_trade,government,1
5469_txt_acq,regarding,1
18238_txt_acq,1987,1
4552_txt_trade,week,1
16680_txt_acq,322,1
15352_txt_trade,economies,1
3563_txt_crude,dresser,3
12803_txt_crude,expected,1
18472_txt_trade,included,1
8677_txt_interest,bid,1
17712_txt_earn,shr,2
12231_txt_earn,corp,1
8750_txt_earn,houston,1
7192_txt_earn,avg,2
15200_txt_crude,calls,1
1226_txt_trade,reagans,1
19810_txt_acq,21,1
998_txt_earn,products,1
18688_txt_acq,unit,5
19483_txt_interest,tnotes,1
9208_txt_crude,115,1
12305_txt_acq,advisor,1
8217_txt_acq,23,1
5053_txt_earn,lake,1
20021_txt_interest,country,1
5565_txt_earn,reuter,1
9818_txt_earn,vs,7
12521_txt_earn,provision,1
12623_txt_trade,reason,1
20973_txt_earn,deposits,1
894_txt_trade,world,1
9704_txt_trade,saw,1
11497_txt_earn,year,5
16257_txt_trade,late,1
2500_txt_acq,last,1
11555_txt_trade,says,1
12521_txt_earn,removed,1
5162_txt_acq,french,2
21376_txt_acq,catell,1
17593_txt_interest,mln,1
21391_txt_trade,australia,1
8979_txt_earn,preferred,2
2775_txt_crude,74,1
7003_txt_earn,making,1
8606_txt_crude,pledged,1
8677_txt_interest,banks,5
15617_txt_interest,six,2
5118_txt_crude,domestic,2
6456_txt_earn,cash,1
8117_txt_crude,world,1
8691_txt_acq,rights,1
20391_txt_earn,vs,8
11352_txt_trade,clercq,5
4576_txt_crude,response,1
16095_txt_trade,became,1
2728_txt_acq,convertible,1
10905_txt_trade,wideranging,1
5908_txt_trade,source,1
7600_txt_trade,said,3
6866_txt_trade,doubled,1
6352_txt_interest,stocks,1
10784_txt_acq,poison,1
9603_txt_trade,start,2
13105_txt_interest,april,1
3931_txt_trade,businessmen,1
248_txt_crude,world,1
2998_txt_crude,reverse,1
3452_txt_crude,maintaining,1
3459_txt_acq,vebgf,1
21131_txt_crude,lambert,2
12094_txt_acq,reuter,1
5465_txt_acq,16,1
18688_txt_acq,considering,2
17291_txt_crude,relief,1
3048_txt_crude,energy,2
2596_txt_acq,previously,1
19167_txt_interest,increase,1
17812_txt_acq,40s,1
17545_txt_earn,house,1
13062_txt_earn,offering,1
353_txt_crude,none,1
13039_txt_trade,ministry,1
2322_txt_acq,definitive,1
4048_txt_trade,council,1
18922_txt_acq,others,1
16658_txt_crude,attempt,1
5873_txt_acq,makes,1
6791_txt_crude,added,1
8027_txt_earn,10767,1
18085_txt_crude,mid1970s,1
8979_txt_earn,4570000,1
6996_txt_crude,50,1
17948_txt_trade,nations,1
9030_txt_earn,new,1
5396_txt_acq,disclosed,1
5270_txt_crude,220,1
12848_txt_trade,chirac,1
21238_txt_earn,vs,6
3711_txt_acq,complete,1
21315_txt_earn,deluxe,1
1847_txt_acq,made,1
6096_txt_acq,firm,2
14904_txt_trade,sense,1
17291_txt_crude,newsletter,3
13095_txt_acq,carbide,4
14843_txt_acq,ltd,3
110_txt_acq,pct,2
5602_txt_earn,160700,1
17809_txt_acq,standard,1
110_txt_acq,chief,1
10311_txt_acq,european,1
5555_txt_earn,corp,1
1009_txt_earn,revs,1
17305_txt_trade,us,4
7820_txt_acq,business,2
1009_txt_earn,holding,1
9045_txt_acq,purchased,1
904_txt_acq,monopolies,1
9072_txt_earn,second,2
924_txt_trade,national,2
5535_txt_earn,four,1
16257_txt_trade,body,1
20393_txt_earn,loans,1
3556_txt_crude,rafael,1
1078_txt_interest,march,1
20038_txt_interest,secretary,1
21408_txt_acq,pct,2
20757_txt_trade,132,1
10695_txt_trade,now,1
11090_txt_earn,may,1
9015_txt_trade,japanese,1
10209_txt_trade,chief,1
8493_txt_crude,big,1
17948_txt_trade,existence,1
5752_txt_trade,external,1
8117_txt_crude,brought,1
8747_txt_trade,measures,5
18577_txt_acq,traded,1
7135_txt_trade,previously,1
16488_txt_earn,twoforone,1
13142_txt_crude,higher,1
1836_txt_acq,icahn,6
5270_txt_crude,emergency,1
9352_txt_earn,incurred,1
12677_txt_acq,master,1
19285_txt_crude,persian,1
20757_txt_trade,2694,1
11123_txt_earn,benefit,1
19492_txt_crude,pty,2
1963_txt_trade,obstructing,1
7897_txt_acq,committee,1
6752_txt_earn,increasing,1
8080_txt_trade,subsidies,1
6201_txt_crude,233,1
17573_txt_acq,arrangement,2
10787_txt_acq,regulatory,1
2342_txt_earn,5,1
19557_txt_interest,possible,1
9841_txt_interest,start,1
14843_txt_acq,medium,1
19556_txt_crude,second,2
13263_txt_earn,2925,1
2175_txt_crude,washington,1
9570_txt_acq,unit,2
15550_txt_interest,france,2
2779_txt_earn,federal,2
17335_txt_trade,year,1
2496_txt_earn,swift,1
449_txt_earn,1199000,1
18795_txt_crude,louisiana,1
144_txt_crude,rising,1
16725_txt_earn,reuter,1
4692_txt_earn,find,1
16005_txt_crude,jumped,1
21283_txt_earn,39,1
3985_txt_crude,unit,1
3303_txt_crude,prices,1
1798_txt_acq,rexnord,3
4027_txt_trade,take,1
4273_txt_earn,mths,1
16985_txt_trade,author,1
19069_txt_crude,approval,1
246_txt_crude,uncertainty,1
1011_txt_earn,9895,1
4990_txt_earn,record,1
7576_txt_earn,also,1
20409_txt_interest,oct,1
17075_txt_trade,will,2
2973_txt_crude,510,1
8029_txt_trade,neighbor,1
10870_txt_earn,18,1
17274_txt_trade,york,1
17023_txt_trade,1991,1
4340_txt_crude,environmental,1
17279_txt_trade,likely,1
4055_txt_acq,intelligence,1
14199_txt_trade,industry,5
8598_txt_crude,complex,1
1602_txt_earn,2437000,1
3991_txt_acq,make,1
7626_txt_trade,pact,2
3199_txt_trade,japan,1
15384_txt_interest,resulting,1
1932_txt_trade,30666,1
11007_txt_crude,products,1
7355_txt_crude,tax,2
8294_txt_earn,life,1
16207_txt_earn,administrative,1
15816_txt_interest,week,8
8117_txt_crude,posing,1
3364_txt_crude,within,1
2979_txt_interest,raise,1
21357_txt_acq,said,5
4277_txt_acq,closing,1
7690_txt_earn,30,1
19704_txt_earn,rev,1
7355_txt_crude,later,1
3534_txt_interest,examining,1
8747_txt_trade,adjustment,3
1478_txt_trade,lack,1
15447_txt_trade,memory,1
8349_txt_earn,food,1
6837_txt_earn,yearago,1
13256_txt_crude,yearonyear,2
5235_txt_interest,treasury,1
4713_txt_crude,spot,1
237_txt_crude,168,1
7529_txt_crude,gas,1
11257_txt_acq,businesses,1
6863_txt_earn,higher,1
19159_txt_acq,operating,1
11492_txt_acq,respond,1
21260_txt_earn,includes,3
1836_txt_acq,transaction,1
20039_txt_acq,sound,1
9171_txt_trade,1194,1
8069_txt_crude,devaluing,1
16377_txt_earn,56,1
11299_txt_acq,based,1
10779_txt_trade,propose,1
5731_txt_earn,ri,1
5396_txt_acq,ny,1
20137_txt_acq,reconsider,1
7851_txt_earn,div,2
3459_txt_acq,response,1
8514_txt_acq,fort,1
19377_txt_trade,19,1
2236_txt_earn,net,2
10192_txt_crude,tax,1
7135_txt_trade,general,1
17405_txt_crude,met,1
6752_txt_earn,next,3
18239_txt_acq,company,2
10883_txt_acq,inc,1
1327_txt_earn,inc,1
21267_txt_crude,last,1
18520_txt_interest,also,1
96_txt_acq,stock,1
5270_txt_crude,otherwise,1
11878_txt_earn,jalc,1
3430_txt_crude,10,1
3332_txt_crude,marco,1
16926_txt_trade,warning,1
20936_txt_crude,crude,2
15617_txt_interest,demand,2
10784_txt_acq,renders,1
11545_txt_trade,prevent,1
18148_txt_trade,problem,2
11487_txt_trade,remain,1
1649_txt_acq,based,1
17359_txt_crude,according,1
3332_txt_crude,health,1
14826_txt_trade,april,2
12473_txt_trade,economy,1
19113_txt_acq,acquired,1
6996_txt_crude,introduced,1
9284_txt_earn,sets,1
16658_txt_crude,steps,1
4621_txt_earn,18,1
8725_txt_trade,term,2
4174_txt_crude,limited,1
17289_txt_crude,executives,1
4576_txt_crude,p,1
16957_txt_trade,speedy,1
7802_txt_trade,ec,1
3711_txt_acq,grounds,1
11225_txt_trade,billion,1
9334_txt_earn,cts,4
8979_txt_earn,123,1
7802_txt_trade,position,1
4983_txt_crude,shipped,1
10784_txt_acq,meeting,2
18570_txt_acq,300,1
2620_txt_trade,last,1
13256_txt_crude,noted,1
16256_txt_trade,stop,1
10192_txt_crude,define,1
10156_txt_interest,new,2
15121_txt_earn,spa,3
4983_txt_crude,mile,1
17429_txt_crude,200,1
1306_txt_crude,ministers,2
21404_txt_acq,completing,1
11048_txt_acq,options,1
17470_txt_interest,last,1
787_txt_acq,markets,1
2688_txt_crude,quito,1
5739_txt_acq,initiating,1
10080_txt_crude,market,4
21262_txt_earn,16,1
4344_txt_earn,ind,1
1963_txt_trade,billion,6
9509_txt_acq,belgian,3
2802_txt_acq,jan,2
17405_txt_crude,world,4
6060_txt_crude,one,3
19713_txt_acq,one,1
11746_txt_interest,change,3
1306_txt_crude,dubai,2
9777_txt_trade,told,1
10623_txt_trade,imposed,1
1356_txt_trade,eight,1
146_txt_earn,declares,1
19927_txt_crude,extraordinary,1
3295_txt_acq,700000,1
11763_txt_acq,emerys,4
11707_txt_acq,acquisitions,1
6301_txt_crude,1170,1
11132_txt_earn,vs,6
16094_txt_trade,give,2
17305_txt_trade,exchange,1
16939_txt_crude,taxes,1
4621_txt_earn,earlier,2
9697_txt_trade,gap,1
1809_txt_trade,tried,1
6121_txt_acq,17,1
6244_txt_earn,2647,1
10779_txt_trade,line,1
1306_txt_crude,still,1
331_txt_acq,services,1
17004_txt_acq,enough,1
4788_txt_earn,4th,1
1616_txt_crude,times,1
9443_txt_acq,supplier,1
17365_txt_crude,construction,1
6441_txt_acq,shares,1
3463_txt_earn,total,2
925_txt_trade,says,1
144_txt_crude,production,6
4425_txt_crude,due,3
1836_txt_acq,making,1
8252_txt_trade,low,1
4581_txt_earn,397,1
2970_txt_crude,carries,1
8091_txt_acq,ariadnes,2
3378_txt_acq,ending,1
13321_txt_interest,bank,4
2890_txt_earn,trust,2
11177_txt_acq,enable,1
5123_txt_crude,de,1
8666_txt_acq,organisations,1
